GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CLE,PIT
2023111901,2023-11-19,2,11,9,CLE,PIT,1,10,11,0,0,(11:09) (SHOTGUN) 27-K.HUNT LEFT END TO CLE 13 FOR 2 YARDS (95-K.BENTON; 51-NI.HERBIG).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,11,OWN,0,,0,,0,1131,0,0
2023111901,2023-11-19,2,11,9,CLE,PIT,0,0,100,1,0,TIMEOUT AT 11:09.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1131,0,0
2023111901,2023-11-19,2,10,28,CLE,PIT,2,8,13,0,0,(10:28) 53-N.HARRIS REPORTED IN AS ELIGIBLE.  17-D.THOMPSON-ROBINSON PASS SHORT LEFT TO 20-P.STRONG TO CLE 17 FOR 4 YARDS (97-C.HEYWARD).,0,2023,4,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,13,OWN,0,,0,,0,1172,0,0
2023111901,2023-11-19,2,9,41,CLE,PIT,3,4,17,0,0,"(9:41) (SHOTGUN) 34-J.FORD LEFT GUARD TO CLE 18 FOR 1 YARD (97-C.HEYWARD, 50-E.ROBERTS).",0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,17,OWN,0,,0,,0,1219,0,0
2023111901,2023-11-19,2,9,0,CLE,PIT,4,3,18,0,0,"(9:00) 13-C.BOJORQUEZ PUNTS 64 YARDS TO PIT 18, CENTER-47-C.HUGHLETT. 19-C.AUSTIN TO PIT 33 FOR 15 YARDS (26-R.MCLEOD).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,18,OWN,0,,0,,0,1260,0,0
2023111901,2023-11-19,2,8,49,CLE,PIT,0,0,100,1,0,TIMEOUT AT 08:49.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1271,0,0
2023111901,2023-11-19,2,8,49,PIT,CLE,1,10,33,0,0,"(8:49) 22-N.HARRIS RIGHT GUARD TO PIT 38 FOR 5 YARDS (21-D.WARD, 26-R.MCLEOD).",0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,33,OWN,0,,0,,0,1271,0,0
2023111901,2023-11-19,2,8,12,PIT,CLE,2,5,38,1,0,(8:12) (SHOTGUN) 8-K.PICKETT SCRAMBLES RIGHT GUARD TO PIT 43 FOR 5 YARDS (6-J.OWUSU-KORAMOAH).,0,2023,5,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,1308,0,0
2023111901,2023-11-19,2,7,30,PIT,CLE,1,10,43,0,0,(7:30) 22-N.HARRIS LEFT END PUSHED OB AT PIT 47 FOR 4 YARDS (90-M.HURST).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,43,OWN,0,,0,,0,1350,0,0
2023111901,2023-11-19,2,6,51,PIT,CLE,2,6,47,0,0,(6:51) 8-K.PICKETT SCRAMBLES RIGHT END TO CLE 49 FOR 4 YARDS (44-S.TAKITAKI).,0,2023,4,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,1389,0,0
