GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,KC,NE
2023121711,2023-12-17,3,4,28,KC,NE,0,0,100,1,0,TIMEOUT #1 BY KC AT 04:28.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2432,0,0
2023121711,2023-12-17,3,3,45,KC,NE,4,8,65,0,0,"(3:45) 7-H.BUTKER 54 YARD FIELD GOAL IS GOOD, CENTER-41-J.WINCHESTER, HOLDER-5-T.TOWNSEND.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,2475,0,0
2023121711,2023-12-17,3,3,40,NE,KC,0,0,65,1,0,"7-H.BUTKER KICKS 65 YARDS FROM KC 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,2480,0,0
2023121711,2023-12-17,3,3,40,NE,KC,0,0,100,1,0,TIMEOUT AT 03:40.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2480,0,0
2023121711,2023-12-17,3,3,40,NE,KC,1,10,25,0,0,(3:40) (SHOTGUN) 15-E.ELLIOTT RIGHT TACKLE TO NE 29 FOR 4 YARDS (38-L.SNEED).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,25,OWN,0,,0,,0,2480,0,0
2023121711,2023-12-17,3,3,3,NE,KC,2,6,29,0,0,"(3:03) 4-B.ZAPPE SACKED AT NE 22 FOR -7 YARDS (90-C.OMENIHU). FUMBLES (90-C.OMENIHU) [90-C.OMENIHU], RECOVERED BY NE-75-C.MCDERMOTT AT NE 22.",0,2023,-7,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,1,0,0,0,,29,OWN,0,,0,,0,2517,0,0
2023121711,2023-12-17,3,2,19,NE,KC,3,13,22,0,0,(2:19) (SHOTGUN) 4-B.ZAPPE PASS SHORT MIDDLE TO 81-D.DOUGLAS TO NE 28 FOR 6 YARDS (32-N.BOLTON).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,2561,0,0
2023121711,2023-12-17,3,1,48,NE,KC,4,7,28,0,0,"(1:48) 17-B.BARINGER PUNTS 64 YARDS TO KC 8, CENTER-49-J.CARDONA. 17-R.JAMES TO KC 26 FOR 18 YARDS (53-C.ELLISS). NE-18-M.SLATER WAS INJURED DURING THE PLAY.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,2592,0,0
2023121711,2023-12-17,3,1,34,NE,KC,0,0,100,1,0,TIMEOUT AT 01:34.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2606,0,0
2023121711,2023-12-17,3,1,34,KC,NE,1,10,26,0,0,(1:34) (SHOTGUN) 15-P.MAHOMES PASS INCOMPLETE DEEP LEFT TO 84-JU.WATSON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,2606,0,0
