GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,MIN,LAC
2023092406,2023-09-24,2,10,57,LAC,MIN,2,9,44,0,0,(10:57) (SHOTGUN) 10-J.HERBERT PASS INCOMPLETE SHORT RIGHT TO 13-K.ALLEN (24-C.BYNUM).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,3,1143,0,0
2023092406,2023-09-24,2,10,54,LAC,MIN,3,9,44,0,0,(10:54) (SHOTGUN) 10-J.HERBERT PASS SHORT RIGHT TO 7-G.EVERETT TO LAC 42 FOR -2 YARDS (99-D.HUNTER) [98-D.WONNUM].,0,2023,-2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,3,1146,0,0
2023092406,2023-09-24,2,10,21,LAC,MIN,4,11,42,0,0,"(10:21) 16-J.SCOTT PUNTS 33 YARDS TO MIN 25, CENTER-47-J.HARRIS, FAIR CATCH BY 4-B.POWELL.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,3,1179,0,0
2023092406,2023-09-24,2,10,13,MIN,LAC,1,10,25,0,0,(10:13) (SHOTGUN) 8-K.COUSINS PASS SHORT MIDDLE TO 2-A.MATTISON TO MIN 33 FOR 8 YARDS (31-N.NIEMANN).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,3,1187,0,0
2023092406,2023-09-24,2,10,13,MIN,LAC,0,0,100,1,0,TIMEOUT AT 10:13.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,1187,0,0
2023092406,2023-09-24,2,9,37,MIN,LAC,2,2,33,1,0,(9:37) 8-K.COUSINS PASS DEEP RIGHT TO 18-J.JEFFERSON TO LAC 46 FOR 21 YARDS (43-M.DAVIS).,0,2023,21,UNDER CENTER,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,3,1223,0,0
2023092406,2023-09-24,2,9,11,MIN,LAC,1,10,54,1,0,(9:11) (NO HUDDLE) 8-K.COUSINS PASS DEEP RIGHT TO 18-J.JEFFERSON TO LAC 12 FOR 34 YARDS (36-J.TAYLOR).,0,2023,34,NO HUDDLE,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,3,1249,0,0
2023092406,2023-09-24,2,8,32,MIN,LAC,1,10,88,0,0,"(8:32) 8-K.COUSINS PASS SHORT RIGHT TO 86-J.MUNDT TO LAC 10 FOR 2 YARDS (45-T.TUIPULOTU). PENALTY ON LAC-45-T.TUIPULOTU, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT LAC 12 - NO PLAY.",0,2023,2,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,12,OPP,1,LAC,1,DEFENSIVE HOLDING,5,3,1288,0,0
2023092406,2023-09-24,2,8,9,MIN,LAC,1,7,93,0,0,(8:09) 2-A.MATTISON LEFT END TO LAC 4 FOR 3 YARDS (99-S.MATLOCK).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,7,OPP,0,,0,,0,3,1311,0,0
2023092406,2023-09-24,2,7,33,MIN,LAC,2,4,96,1,0,"(7:33) 8-K.COUSINS PASS SHORT LEFT TO 84-J.OLIVER FOR 4 YARDS, TOUCHDOWN [36-J.TAYLOR]. THE REPLAY OFFICIAL REVIEWED THE RUNNER BROKE THE PLANE RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS.",0,2023,4,UNDER CENTER,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,4,OPP,0,,0,,0,3,1347,0,0
2023092406,2023-09-24,2,7,27,LAC,MIN,1,10,25,0,0,(7:27) (SHOTGUN) 10-J.HERBERT PASS SHORT RIGHT TO 81-M.WILLIAMS TO LAC 32 FOR 7 YARDS (7-B.MURPHY).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,3,1353,0,0
2023092406,2023-09-24,2,7,27,MIN,LAC,0,0,85,1,0,"1-G.JOSEPH EXTRA POINT IS GOOD, CENTER-42-A.DEPAOLA, HOLDER-14-R.WRIGHT.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,3,1353,0,0
