GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,LA,PHI
2023100808,2023-10-08,2,13,41,LA,PHI,1,10,91,0,0,(13:41) 23-K.WILLIAMS UP THE MIDDLE TO LAR 11 FOR 2 YARDS (52-Z.CUNNINGHAM; 93-M.WILLIAMS).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,9,OPP,0,,0,,0,5,979,0,0
2023100808,2023-10-08,2,13,41,PHI,LA,0,0,100,1,0,TIMEOUT AT 13:41.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,979,0,0
2023100808,2023-10-08,2,13,3,LA,PHI,2,8,89,0,0,(13:03) (SHOTGUN) 9-M.STAFFORD PASS SHORT LEFT TO 23-K.WILLIAMS TO LAR 18 FOR 7 YARDS (32-R.BLANKENSHIP).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,11,OPP,0,,0,,0,5,1017,0,0
2023100808,2023-10-08,2,12,28,LA,PHI,3,1,82,1,0,(12:28) 23-K.WILLIAMS UP THE MIDDLE TO LAR 24 FOR 6 YARDS (32-R.BLANKENSHIP).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,18,OPP,0,,0,,0,5,1052,0,0
2023100808,2023-10-08,2,11,47,LA,PHI,1,10,76,0,0,(11:47) 23-K.WILLIAMS LEFT END TO LAR 27 FOR 3 YARDS (52-Z.CUNNINGHAM; 24-J.BRADBERRY).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,24,OPP,0,,0,,0,5,1093,0,0
2023100808,2023-10-08,2,11,4,LA,PHI,2,7,73,0,0,(11:04) (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT LEFT TO 10-C.KUPP.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,27,OPP,0,,0,,0,5,1136,0,0
2023100808,2023-10-08,2,11,0,LA,PHI,3,7,73,0,0,(11:00) (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT RIGHT TO 17-P.NACUA.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,27,OPP,0,,0,,0,5,1140,0,0
2023100808,2023-10-08,2,10,55,LA,PHI,4,7,73,0,0,"(10:55) 42-E.EVANS PUNTS 65 YARDS TO PHI 8, CENTER-47-A.WARD. 18-B.COVEY TO PHI 28 FOR 20 YARDS (35-J.HUMMEL).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,27,OPP,0,,0,,0,5,1145,0,0
2023100808,2023-10-08,2,10,39,PHI,LA,1,10,28,0,0,(10:39) (SHOTGUN) 1-J.HURTS PASS SHORT RIGHT TO 0-D.SWIFT TO PHI 32 FOR 4 YARDS (37-Q.LAKE; 4-J.FULLER).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,5,1161,0,0
2023100808,2023-10-08,2,10,39,LA,PHI,0,0,100,1,0,TIMEOUT AT 10:39.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,1161,0,0
2023100808,2023-10-08,2,9,59,PHI,LA,2,6,32,0,0,(9:59) (SHOTGUN) 1-J.HURTS PASS INCOMPLETE SHORT RIGHT TO 88-D.GOEDERT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,5,1201,0,0
2023100808,2023-10-08,2,9,55,PHI,LA,3,6,32,1,0,(9:55) (SHOTGUN) 1-J.HURTS PASS SHORT RIGHT TO 14-K.GAINWELL PUSHED OB AT PHI 39 FOR 7 YARDS (91-K.TURNER).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,5,1205,0,0
2023100808,2023-10-08,2,9,16,PHI,LA,1,10,39,0,0,"(9:16) (SHOTGUN) 14-K.GAINWELL RIGHT TACKLE TO PHI 41 FOR 2 YARDS (99-A.DONALD, 4-J.FULLER).",0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,39,OWN,0,,0,,0,5,1244,0,0
2023100808,2023-10-08,2,8,36,PHI,LA,2,8,41,1,0,"(8:36) (NO HUDDLE, SHOTGUN) 1-J.HURTS PASS SHORT RIGHT TO 11-A.BROWN PUSHED OB AT LAR 47 FOR 12 YARDS (44-A.WITHERSPOON).",0,2023,12,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,5,1284,0,0
2023100808,2023-10-08,2,8,9,PHI,LA,1,10,53,0,0,"(8:09) (NO HUDDLE, SHOTGUN) 1-J.HURTS SACKED AT PHI 45 FOR -8 YARDS (51-Z.VANVALKENBURG).",0,2023,-8,NO HUDDLE SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,5,1311,0,0
2023100808,2023-10-08,2,7,23,PHI,LA,2,18,45,0,0,"(7:23) (SHOTGUN) 1-J.HURTS PASS SHORT MIDDLE TO 0-D.SWIFT TO LAR 46 FOR 9 YARDS (56-C.ROZEBOOM, 53-E.JONES).",0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,5,1357,0,0
2023100808,2023-10-08,2,6,37,PHI,LA,3,9,54,1,0,(6:37) (SHOTGUN) 1-J.HURTS UP THE MIDDLE TO LAR 34 FOR 12 YARDS (14-C.DURANT).,0,2023,12,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,46,OPP,0,,0,,0,5,1403,0,0
2023100808,2023-10-08,2,5,55,PHI,LA,1,10,66,0,0,(5:55) (SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 89-J.STOLL PUSHED OB AT LAR 30 FOR 4 YARDS (97-M.HOECHT).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,34,OPP,0,,0,,0,5,1445,0,0
2023100808,2023-10-08,2,5,21,PHI,LA,2,6,70,0,0,(5:21) (SHOTGUN) 1-J.HURTS LEFT END TO LAR 25 FOR 5 YARDS (53-E.JONES).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,30,OPP,0,,0,,0,5,1479,0,0
2023100808,2023-10-08,2,4,55,PHI,LA,3,1,75,1,0,(4:55) (NO HUDDLE) 1-J.HURTS UP THE MIDDLE TO LAR 23 FOR 2 YARDS (95-B.BROWN).,0,2023,2,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OPP,0,,0,,0,5,1505,0,0
2023100808,2023-10-08,2,4,17,PHI,LA,1,10,77,0,0,(4:17) (SHOTGUN) 0-D.SWIFT UP THE MIDDLE TO LAR 20 FOR 3 YARDS (52-L.MURCHISON).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,23,OPP,0,,0,,0,5,1543,0,0
2023100808,2023-10-08,2,3,37,PHI,LA,2,7,80,0,0,(3:37) (SHOTGUN) 1-J.HURTS PASS SHORT RIGHT TO 0-D.SWIFT TO LAR 15 FOR 5 YARDS (56-C.ROZEBOOM).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,5,1583,0,0
2023100808,2023-10-08,2,3,1,PHI,LA,3,2,85,0,0,"(3:01) (NO HUDDLE, SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 16-Q.WATKINS TO LAR 16 FOR -1 YARDS (1-D.KENDRICK).",0,2023,-1,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,5,1619,0,0
2023100808,2023-10-08,2,2,19,PHI,LA,4,3,84,0,0,"(2:19) 4-J.ELLIOTT 34 YARD FIELD GOAL IS GOOD, CENTER-45-R.LOVATO, HOLDER-10-B.MANN.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,16,OPP,0,,0,,0,5,1661,0,0
2023100808,2023-10-08,2,2,15,LA,PHI,0,0,65,1,0,"4-J.ELLIOTT KICKS 65 YARDS FROM PHI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,5,1665,0,0
2023100808,2023-10-08,2,2,15,LA,PHI,1,10,75,0,0,(2:15) 9-M.STAFFORD PASS SHORT RIGHT TO 89-T.HIGBEE TO LAR 33 FOR 8 YARDS (97-K.STREET).,0,2023,8,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,5,1665,0,0
2023100808,2023-10-08,2,2,15,LA,PHI,0,0,100,1,0,TIMEOUT AT 02:15.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,1665,0,0
