GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,SF,SEA
2023112302,2023-11-23,2,13,11,SF,SEA,0,0,85,1,0,"4-J.MOODY EXTRA POINT IS GOOD, CENTER-46-T.PEPPER, HOLDER-18-M.WISHNOWSKY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,12,1009,0,0
2023112302,2023-11-23,2,12,40,SEA,SF,1,10,35,0,0,(12:40) (SHOTGUN) 7-G.SMITH PASS SHORT RIGHT INTENDED FOR 16-T.LOCKETT INTERCEPTED BY 20-A.THOMAS [99-J.KINLAW] AT SEA 44. 20-A.THOMAS TO SEA 42 FOR 2 YARDS (16-T.LOCKETT).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,1,0,0,0,0,,35,OWN,0,,0,,0,12,1040,0,0
2023112302,2023-11-23,2,12,35,SF,SEA,1,10,58,0,0,(12:35) (SHOTGUN) 25-E.MITCHELL UP THE MIDDLE TO SEA 40 FOR 2 YARDS (90-JA.REED).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,42,OPP,0,,0,,0,12,1045,0,0
2023112302,2023-11-23,2,11,55,SF,SEA,2,8,60,0,0,(11:55) 13-B.PURDY PASS SHORT RIGHT TO 25-E.MITCHELL TO SEA 43 FOR -3 YARDS (33-J.ADAMS).,0,2023,-3,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,12,1085,0,0
2023112302,2023-11-23,2,11,10,SF,SEA,3,11,57,0,0,(11:10) (SHOTGUN) 13-B.PURDY SACKED AT SEA 44 FOR -1 YARDS (52-D.TAYLOR).,0,2023,-1,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,12,1130,0,0
2023112302,2023-11-23,2,10,36,SF,SEA,4,12,56,0,0,"(10:36) 18-M.WISHNOWSKY PUNTS 42 YARDS TO SEA 2, IMPETUS ENDS AT SEA 1, CENTER-46-T.PEPPER, DOWNED BY SF-10-R.BELL.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,12,1164,0,0
2023112302,2023-11-23,2,10,29,SEA,SF,0,0,100,1,0,TIMEOUT AT 10:29.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,1171,0,0
2023112302,2023-11-23,2,10,29,SEA,SF,1,10,2,0,0,(10:29) 26-Z.CHARBONNET LEFT GUARD TO SEA 2 FOR NO GAIN (54-F.WARNER).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,2,OWN,0,,0,,0,12,1171,0,0
2023112302,2023-11-23,2,10,5,SEA,SF,2,10,2,0,0,"(10:05) (NO HUDDLE, SHOTGUN) 7-G.SMITH PASS INCOMPLETE DEEP LEFT TO 14-D.METCALF.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,2,OWN,0,,0,,0,12,1195,0,0
2023112302,2023-11-23,2,9,59,SEA,SF,3,10,2,0,0,"(9:59) (SHOTGUN) 7-G.SMITH PASS SHORT RIGHT TO 14-D.METCALF TO SEA 11 FOR 9 YARDS (2-D.LENOIR, 54-F.WARNER).",0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,2,OWN,0,,0,,0,12,1201,0,0
