GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CAR,TB
2024010705,2024-01-07,2,7,6,TB,CAR,2,1,55,1,0,(7:06) 6-B.MAYFIELD PASS SHORT RIGHT TO 88-C.OTTON PUSHED OB AT CAR 25 FOR 20 YARDS (8-J.HORN).,0,2023,20,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,1374,0,0
2024010705,2024-01-07,2,6,26,TB,CAR,1,10,75,0,0,(6:26) 6-B.MAYFIELD PASS SHORT RIGHT TO 22-C.EDMONDS TO CAR 28 FOR -3 YARDS (25-X.WOODS).,0,2023,-3,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,1414,0,0
2024010705,2024-01-07,2,5,40,TB,CAR,2,13,72,0,0,(5:40) 1-R.WHITE RIGHT GUARD TO CAR 24 FOR 4 YARDS (95-DER.BROWN).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,28,OPP,0,,0,,0,1460,0,0
2024010705,2024-01-07,2,4,59,TB,CAR,3,9,76,0,0,(4:59) (SHOTGUN) 6-B.MAYFIELD PASS SHORT LEFT TO 14-C.GODWIN TO CAR 18 FOR 6 YARDS (8-J.HORN).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,1501,0,0
2024010705,2024-01-07,2,4,17,TB,CAR,4,3,82,0,0,"(4:17) 4-C.MCLAUGHLIN 36 YARD FIELD GOAL IS GOOD, CENTER-97-Z.TRINER, HOLDER-5-J.CAMARDA.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,1543,0,0
2024010705,2024-01-07,2,4,13,CAR,TB,0,0,100,1,0,TIMEOUT AT 04:13.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1547,0,0
2024010705,2024-01-07,2,4,13,CAR,TB,0,0,65,1,0,"5-J.CAMARDA KICKS 60 YARDS FROM TB 35 TO CAR 5. 3-R.BLACKSHEAR TO CAR 23 FOR 18 YARDS (27-Z.MCCOLLUM, 32-J.HAYES).",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1547,0,0
2024010705,2024-01-07,2,4,7,CAR,TB,1,10,23,0,0,(4:07) 65-J.DIRENZO REPORTED IN AS ELIGIBLE.  30-C.HUBBARD RIGHT TACKLE TO CAR 25 FOR 2 YARDS (90-L.HALL).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,23,OWN,0,,0,,0,1553,0,0
2024010705,2024-01-07,2,3,23,CAR,TB,2,8,25,0,0,(3:23) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE SHORT LEFT TO 11-I.SMITH-MARSETTE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1597,0,0
2024010705,2024-01-07,2,3,18,CAR,TB,3,8,25,0,0,(3:18) (SHOTGUN) 9-B.YOUNG PASS SHORT LEFT TO 80-I.THOMAS TO CAR 30 FOR 5 YARDS (27-Z.MCCOLLUM).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1602,0,0
2024010705,2024-01-07,2,2,20,CAR,TB,4,3,30,0,0,"(2:20) 10-J.HEKKER PUNTS 44 YARDS TO TB 26, CENTER-44-J.JANSEN, FAIR CATCH BY 83-D.THOMPKINS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,1660,0,0
