GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,GB,CHI
2023091008,2023-09-10,2,9,45,CHI,GB,2,4,96,0,0,(9:45) (SHOTGUN) 1-J.FIELDS SACKED AT GB 11 FOR -7 YARDS (90-L.VAN NESS).,0,2023,-7,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,4,OPP,0,,0,,0,1,1215,0,0
2023091008,2023-09-10,2,9,8,CHI,GB,3,11,89,0,0,(9:08) (SHOTGUN) 1-J.FIELDS PASS INCOMPLETE SHORT RIGHT TO 85-C.KMET (29-R.DOUGLAS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,11,OPP,0,,0,,0,1,1252,0,0
2023091008,2023-09-10,2,9,4,CHI,GB,4,11,89,0,0,"(9:04) 8-C.SANTOS 29 YARD FIELD GOAL IS GOOD, CENTER-48-P.SCALES, HOLDER-16-T.GILL.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,11,OPP,0,,0,,0,1,1256,0,0
2023091008,2023-09-10,2,9,0,GB,CHI,0,0,65,1,0,8-C.SANTOS KICKS 69 YARDS FROM CHI 35 TO GB -4. 25-K.NIXON TO GB 24 FOR 28 YARDS (29-T.STEVENSON).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1,1260,0,0
2023091008,2023-09-10,2,9,0,CHI,GB,0,0,100,1,0,TIMEOUT AT 09:00.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,1260,0,0
2023091008,2023-09-10,2,8,53,GB,CHI,1,10,24,0,0,(8:53) 10-J.LOVE PASS SHORT LEFT TO 87-R.DOUBS PUSHED OB AT GB 25 FOR 1 YARD (29-T.STEVENSON).,0,2023,1,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,1,1267,0,0
2023091008,2023-09-10,2,8,13,GB,CHI,2,9,25,0,0,(8:13) (SHOTGUN) 28-A.DILLON RIGHT GUARD TO GB 32 FOR 7 YARDS (53-T.EDWARDS; 57-J.SANBORN).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,1,1307,0,0
2023091008,2023-09-10,2,7,31,GB,CHI,3,2,32,0,0,(7:31) (SHOTGUN) 10-J.LOVE PASS INCOMPLETE SHORT LEFT TO 11-J.REED (6-K.GORDON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,1,1349,0,0
2023091008,2023-09-10,2,7,26,GB,CHI,4,2,32,0,0,"(7:26) 19-D.WHELAN PUNTS 68 YARDS TO END ZONE, CENTER-42-M.ORZECH, TOUCHBACK.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,1,1354,0,0
2023091008,2023-09-10,2,7,16,CHI,GB,0,0,100,1,0,TIMEOUT AT 07:16.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,1364,0,0
