GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,TB,CAR
2023120304,2023-12-03,2,12,52,TB,CAR,3,6,29,0,0,(12:52) (SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 22-C.EDMONDS TO TB 31 FOR 2 YARDS (23-C.HENDERSON).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,13,1028,0,0
2023120304,2023-12-03,2,12,19,TB,CAR,4,4,31,0,0,"(12:19) 5-J.CAMARDA PUNTS 42 YARDS TO CAR 27, CENTER-97-Z.TRINER. 11-I.SMITH-MARSETTE TO CAR 27 FOR NO GAIN (22-C.EDMONDS).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,13,1061,0,0
2023120304,2023-12-03,2,12,9,TB,CAR,0,0,100,1,0,TIMEOUT AT 12:09.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,1071,0,0
2023120304,2023-12-03,2,12,9,CAR,TB,1,10,27,0,0,(12:09) (SHOTGUN) 9-B.YOUNG PASS SHORT LEFT TO 15-J.MINGO RAN OB AT CAR 31 FOR 4 YARDS.,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,13,1071,0,0
2023120304,2023-12-03,2,11,38,CAR,TB,2,6,31,0,0,(11:38) (SHOTGUN) 6-M.SANDERS UP THE MIDDLE TO CAR 36 FOR 5 YARDS (31-A.WINFIELD).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,31,OWN,0,,0,,0,13,1102,0,0
2023120304,2023-12-03,2,10,58,CAR,TB,3,1,36,0,0,"(10:58) (SHOTGUN) 6-M.SANDERS LEFT END TO CAR 34 FOR -2 YARDS (31-A.WINFIELD, 0-Y.DIABY).",0,2023,-2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,36,OWN,0,,0,,0,13,1142,0,0
2023120304,2023-12-03,2,10,16,CAR,TB,4,3,34,0,0,"(10:16) 10-J.HEKKER PUNTS 44 YARDS TO TB 22, CENTER-44-J.JANSEN, FAIR CATCH BY 83-D.THOMPKINS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,13,1184,0,0
2023120304,2023-12-03,2,10,9,TB,CAR,0,0,100,1,0,TIMEOUT AT 10:09.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,1191,0,0
2023120304,2023-12-03,2,10,9,TB,CAR,1,10,22,0,0,(10:09) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT RIGHT TO 1-R.WHITE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,13,1191,0,0
2023120304,2023-12-03,2,10,5,TB,CAR,2,10,22,0,0,(10:05) 1-R.WHITE UP THE MIDDLE TO TB 24 FOR 2 YARDS (90-A.BARNO).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,22,OWN,0,,0,,0,13,1195,0,0
2023120304,2023-12-03,2,9,25,TB,CAR,3,8,24,0,0,(9:25) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE DEEP LEFT TO 13-M.EVANS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,13,1235,0,0
2023120304,2023-12-03,2,9,20,TB,CAR,4,8,24,0,0,"(9:20) 5-J.CAMARDA PUNTS 56 YARDS TO CAR 20, CENTER-97-Z.TRINER. 11-I.SMITH-MARSETTE TO CAR 43 FOR 23 YARDS (22-C.EDMONDS; 98-A.NELSON).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,13,1240,0,0
2023120304,2023-12-03,2,9,7,TB,CAR,0,0,100,1,0,TIMEOUT AT 09:07.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,1253,0,0
2023120304,2023-12-03,2,9,7,CAR,TB,1,10,43,0,0,(9:07) (SHOTGUN) 6-M.SANDERS RIGHT END TO TB 49 FOR 8 YARDS (51-J.RUSSELL).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,43,OWN,0,,0,,0,13,1253,0,0
2023120304,2023-12-03,2,8,29,CAR,TB,2,2,51,1,0,(8:29) (SHOTGUN) 6-M.SANDERS RIGHT TACKLE TO TB 46 FOR 3 YARDS (23-R.NEAL).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,49,OPP,0,,0,,0,13,1291,0,0
2023120304,2023-12-03,2,7,53,CAR,TB,1,10,54,0,0,(7:53) (SHOTGUN) 6-M.SANDERS RIGHT GUARD TO TB 44 FOR 2 YARDS (0-Y.DIABY; 24-C.DAVIS).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,46,OPP,0,,0,,0,13,1327,0,0
2023120304,2023-12-03,2,7,13,CAR,TB,2,8,56,0,0,"(7:13) (SHOTGUN) 9-B.YOUNG SACKED AT CAR 48 FOR -8 YARDS. FUMBLES, BALL OUT OF BOUNDS AT CAR 45.",0,2023,-8,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,1,0,0,0,,44,OPP,0,,0,,0,13,1367,0,0
2023120304,2023-12-03,2,6,44,CAR,TB,3,19,45,0,0,(6:44) (SHOTGUN) 9-B.YOUNG PASS SHORT RIGHT TO 15-J.MINGO TO TB 46 FOR 9 YARDS (9-J.TRYON; 31-A.WINFIELD).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,13,1396,0,0
2023120304,2023-12-03,2,5,58,CAR,TB,4,10,54,0,0,"(5:58) 10-J.HEKKER PUNTS 39 YARDS TO TB 7, CENTER-44-J.JANSEN, DOWNED BY CAR-42-S.FRANKLIN.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,13,1442,0,0
