GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,CHI,ARI
2023122409,2023-12-24,4,3,12,ARI,CHI,2,6,27,0,0,"(3:12) (NO HUDDLE, SHOTGUN) 1-K.MURRAY PASS INCOMPLETE SHORT MIDDLE TO 31-E.DEMERCADO.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,16,3408,0,0
2023122409,2023-12-24,4,3,7,ARI,CHI,3,6,27,0,0,(3:07) (SHOTGUN) 1-K.MURRAY PASS INCOMPLETE SHORT RIGHT TO 14-MI.WILSON (32-T.SMITH).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,16,3413,0,0
2023122409,2023-12-24,4,3,3,ARI,CHI,4,6,27,0,0,(3:03) (SHOTGUN) 1-K.MURRAY PASS INCOMPLETE DEEP RIGHT TO 83-G.DORTCH.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,16,3417,0,0
2023122409,2023-12-24,4,2,57,CHI,ARI,1,10,73,0,0,(2:57) (SHOTGUN) 24-K.HERBERT LEFT END TO ARI 22 FOR 5 YARDS (25-Z.COLLINS).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,27,OPP,0,,0,,0,16,3423,0,0
2023122409,2023-12-24,4,2,51,CHI,ARI,2,5,78,0,0,(2:51) (SHOTGUN) 24-K.HERBERT RIGHT TACKLE TO ARI 21 FOR 1 YARD (92-K.STRONG; 44-O.PAPPOE).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,22,OPP,0,,0,,0,16,3429,0,0
2023122409,2023-12-24,4,2,51,CHI,ARI,0,0,100,1,0,TIMEOUT #1 BY ARI AT 02:51.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,3429,0,0
2023122409,2023-12-24,4,2,6,CHI,ARI,3,4,79,1,0,(2:06) (SHOTGUN) 1-J.FIELDS PASS SHORT RIGHT TO 2-D.MOORE TO ARI 14 FOR 7 YARDS (24-S.THOMAS).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,21,OPP,0,,0,,0,16,3474,0,0
2023122409,2023-12-24,4,2,0,CHI,ARI,1,10,86,0,0,(2:00) (SHOTGUN) 23-R.JOHNSON LEFT END TO ARI 15 FOR -1 YARDS (98-R.LOPEZ).,0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,14,OPP,0,,0,,0,16,3480,0,0
2023122409,2023-12-24,4,2,0,CHI,ARI,0,0,100,1,0,TWO-MINUTE WARNING,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,3480,0,0
2023122409,2023-12-24,4,1,55,CHI,ARI,2,11,85,0,0,(1:55) (SHOTGUN) 24-K.HERBERT RIGHT GUARD TO ARI 14 FOR 1 YARD (98-R.LOPEZ).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,15,OPP,0,,0,,0,16,3485,0,0
