GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,MIN,SF
2023102300,2023-10-23,2,10,51,MIN,SF,2,4,74,0,0,"(10:51) 31-C.AKERS RIGHT END TO SF 23 FOR 3 YARDS (97-N.BOSA). PENALTY ON MIN-84-J.OLIVER, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT SF 26 - NO PLAY.",0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT END,26,OPP,1,MIN,1,OFFENSIVE HOLDING,10,7,1149,0,0
2023102300,2023-10-23,2,10,29,MIN,SF,2,14,64,0,0,"(10:29) (SHOTGUN) 3-J.ADDISON PASS SHORT RIGHT TO 32-T.CHANDLER TO SF 9 FOR 27 YARDS (7-C.WARD, 31-T.GIPSON). PENALTY ON MIN-17-K.OSBORN, OFFENSIVE PASS INTERFERENCE, 10 YARDS, ENFORCED AT SF 36 - NO PLAY.",0,2023,27,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,36,OPP,1,MIN,1,OFFENSIVE PASS INTERFERENCE,10,7,1171,0,0
2023102300,2023-10-23,2,9,41,MIN,SF,2,24,54,0,0,(9:41) (SHOTGUN) 8-K.COUSINS PASS SHORT RIGHT TO 17-K.OSBORN TO SF 32 FOR 14 YARDS (7-C.WARD).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,7,1219,0,0
2023102300,2023-10-23,2,9,5,MIN,SF,3,10,68,1,0,"(9:05) (NO HUDDLE, SHOTGUN) 8-K.COUSINS PASS SHORT RIGHT TO 31-C.AKERS TO SF 2 FOR 30 YARDS (99-J.KINLAW, 2-D.LENOIR). MIN-87-T.HOCKENSON WAS INJURED DURING THE PLAY.",0,2023,30,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,7,1255,0,0
2023102300,2023-10-23,2,8,31,MIN,SF,0,0,100,1,0,TIMEOUT AT 08:31.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,7,1289,0,0
2023102300,2023-10-23,2,8,24,MIN,SF,1,2,98,0,0,(8:24) (SHOTGUN) 2-A.MATTISON LEFT GUARD TO SF 3 FOR -1 YARDS (90-K.GIVENS).,0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,2,OPP,0,,0,,0,7,1296,0,0
2023102300,2023-10-23,2,7,46,MIN,SF,2,3,97,0,0,(7:46) 8-K.COUSINS PASS INCOMPLETE SHORT LEFT TO 3-J.ADDISON.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,3,OPP,0,,0,,0,7,1334,0,0
2023102300,2023-10-23,2,7,41,MIN,SF,3,3,97,0,0,(7:41) (SHOTGUN) 8-K.COUSINS PASS INCOMPLETE SHORT MIDDLE TO 4-B.POWELL (54-F.WARNER).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,3,OPP,0,,0,,0,7,1339,0,0
2023102300,2023-10-23,2,7,36,MIN,SF,4,3,97,0,0,"(7:36) 1-G.JOSEPH 21 YARD FIELD GOAL IS GOOD, CENTER-42-A.DEPAOLA, HOLDER-14-R.WRIGHT.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,3,OPP,0,,0,,0,7,1344,0,0
2023102300,2023-10-23,2,7,33,SF,MIN,0,0,65,1,0,"1-G.JOSEPH KICKS 65 YARDS FROM MIN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,7,1347,0,0
