GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,BAL,TEN
2023101500,2023-10-15,2,10,13,TEN,BAL,0,0,65,1,0,"9-J.TUCKER KICKS 65 YARDS FROM BAL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,6,1187,0,0
2023101500,2023-10-15,2,9,35,TEN,BAL,2,4,31,0,0,(9:35) 32-T.SPEARS RIGHT GUARD TO TEN 32 FOR 1 YARD (92-J.MADUBUIKE; 40-M.HARRISON).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,31,OWN,0,,0,,0,6,1225,0,0
2023101500,2023-10-15,2,8,53,TEN,BAL,3,3,32,0,0,(8:53) (SHOTGUN) 17-R.TANNEHILL PASS INCOMPLETE SHORT RIGHT TO 18-K.PHILIPS [92-J.MADUBUIKE].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,6,1267,0,0
2023101500,2023-10-15,2,8,48,TEN,BAL,4,3,32,0,0,"(8:48) 4-R.STONEHOUSE PUNTS 55 YARDS TO BAL 13, CENTER-46-M.COX. 13-D.DUVERNAY PUSHED OB AT BAL 20 FOR 7 YARDS (39-M.JACKSON).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,6,1272,0,0
2023101500,2023-10-15,2,8,39,BAL,TEN,1,10,20,1,0,(8:39) 8-L.JACKSON PASS SHORT MIDDLE TO 89-M.ANDREWS TO BAL 40 FOR 20 YARDS (50-J.GIBBENS).,0,2023,20,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,6,1281,0,0
2023101500,2023-10-15,2,8,39,TEN,BAL,0,0,100,1,0,TIMEOUT AT 08:39.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,6,1281,0,0
2023101500,2023-10-15,2,7,58,BAL,TEN,1,10,40,0,0,(7:58) 43-J.HILL RIGHT END TO BAL 48 FOR 8 YARDS (31-K.BYARD).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,40,OWN,0,,0,,0,6,1322,0,0
2023101500,2023-10-15,2,7,17,BAL,TEN,2,2,48,1,0,(7:17) (SHOTGUN) 43-J.HILL LEFT END PUSHED OB AT TEN 42 FOR 10 YARDS (23-T.AVERY).,0,2023,10,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,48,OWN,0,,0,,0,6,1363,0,0
2023101500,2023-10-15,2,6,40,BAL,TEN,1,10,58,0,0,(6:40) (SHOTGUN) 4-Z.FLOWERS LEFT END TO TEN 41 FOR 1 YARD (96-D.AUTRY).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,42,OPP,0,,0,,0,6,1400,0,0
2023101500,2023-10-15,2,5,58,BAL,TEN,2,9,59,0,0,(5:58) (SHOTGUN) 8-L.JACKSON LEFT END TO TEN 34 FOR 7 YARDS (99-R.WEAVER).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,41,OPP,0,,0,,0,6,1442,0,0
