GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,HOU,PIT
2023100105,2023-10-01,2,10,51,PIT,HOU,3,8,23,0,0,(10:51) (SHOTGUN) 8-K.PICKETT PASS INCOMPLETE SHORT MIDDLE TO 14-G.PICKENS (0-S.GRIFFIN).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,4,1149,0,0
2023100105,2023-10-01,2,10,46,PIT,HOU,4,8,23,0,0,"(10:46) 3-B.WING PUNTS 44 YARDS TO HOU 33, CENTER-46-C.KUNTZ, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,4,1154,0,0
2023100105,2023-10-01,2,10,37,HOU,PIT,0,0,100,1,0,TIMEOUT AT 10:37.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,1163,0,0
2023100105,2023-10-01,2,10,37,HOU,PIT,1,10,33,1,0,(10:37) (SHOTGUN) 7-C.STROUD PASS SHORT LEFT TO 12-N.COLLINS TO PIT 48 FOR 19 YARDS (23-D.KAZEE).,0,2023,19,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,4,1163,0,0
2023100105,2023-10-01,2,9,57,HOU,PIT,1,10,52,1,0,"(9:57) (SHOTGUN) 7-C.STROUD PASS SHORT LEFT TO 26-D.SINGLETARY TO PIT 37 FOR 11 YARDS (57-M.ADAMS, 54-K.ALEXANDER).",0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,4,1203,0,0
2023100105,2023-10-01,2,9,18,HOU,PIT,1,10,63,0,0,(9:18) 26-D.SINGLETARY LEFT TACKLE TO PIT 35 FOR 2 YARDS (92-I.LOUDERMILK).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,37,OPP,0,,0,,0,4,1242,0,0
2023100105,2023-10-01,2,8,41,HOU,PIT,2,8,65,0,0,(8:41) (SHOTGUN) 7-C.STROUD PASS SHORT RIGHT TO 86-D.SCHULTZ TO PIT 28 FOR 7 YARDS (34-C.SULLIVAN; 39-M.FITZPATRICK).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,4,1279,0,0
2023100105,2023-10-01,2,7,55,HOU,PIT,3,1,72,0,0,(7:55) 7-C.STROUD UP THE MIDDLE TO PIT 28 FOR NO GAIN (50-E.ROBERTS).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,28,OPP,0,,0,,0,4,1325,0,0
2023100105,2023-10-01,2,7,9,HOU,PIT,0,0,100,1,0,TIMEOUT #2 BY HOU AT 07:09.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,1371,0,0
2023100105,2023-10-01,2,7,9,HOU,PIT,4,1,72,0,0,(7:09) 7-C.STROUD PASS INCOMPLETE SHORT LEFT TO 47-A.BECK [90-T.WATT].,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,28,OPP,0,,0,,0,4,1371,0,0
